,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
73,No,Yes,Full Bar,Casual,Casual,Yes,Ethiopian; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Awash Ethiopian Restaurant,Manhattan Valley,4,428,10025,947 Amsterdam Ave
74,NA,No,No,NA,Casual,Yes,Indian; Vegetarian; ,Yes,Yes,NA,Yes,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,Average,No,Street,Yes,No,NA,NA,No,Under $10,Doaba Deli,Manhattan Valley,4.5,215,10025,945 Columbus Ave
75,No,Yes,Full Bar,Casual,Casual,Yes,Chinese; Peruvian; Cocktail Bars; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,B,NA,Yes,Average,No,Street,Yes,No,NA,NA,No,$11-30,Flor de Mayo,Manhattan Valley,4,504,10025,2651 Broadway
76,NA,Yes,No,"Casual, Intimate",Casual,No,Indian; ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,NA,Yes,Yes,Average,No,Street,Yes,Yes,Yes,NA,No,$11-30,Namaste India,NA,4,235,7020,880 River Rd
77,No,Yes,Full Bar,Casual,NA,Yes,Seafood; Breakfast & Brunch; Sandwiches; ,No,No,NA,Yes,Dinner,Yes,Yes,Yes,NA,NA,NA,No,A,NA,Yes,Average,Yes,Street,No,Yes,NA,NA,No,$11-30,The Mermaid Inn,Upper West Side,4,971,10024,570 Amsterdam Ave
78,NA,Yes,No,NA,NA,Yes,Diners; Breakfast & Brunch; American (Traditional); ,No,Yes,NA,Yes,"Breakfast, Brunch",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,Yes,NA,No,Under $10,Broadway Restaurant,Manhattan Valley,4,150,10025,2664 Broadway
79,NA,Yes,Full Bar,"Trendy, Intimate, Romantic, Classy",Casual,No,Bars; New Mexican Cuisine; Tapas Bars; ,No,No,No,Yes,Dinner,Yes,No,Yes,NA,NA,NA,No,A,NA,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,La Diagonal,Harlem,4,141,10026,185 St Nicholas Ave
80,No,Yes,Full Bar,"Casual, Intimate",Casual,Yes,Caribbean; Bars; ,Yes,Yes,No,Yes,Dinner,Yes,Yes,Yes,NA,NA,NA,Yes,NA,NA,Yes,Average,No,NA,Yes,Yes,Yes,Yes,Free,$11-30,Kingston,Harlem,4,91,10026,218 W 116th St
81,No,Yes,No,Casual,Casual,No,Japanese Curry; ,Yes,Yes,No,NA,"Lunch, Dinner",Yes,Yes,No,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,No,Yes,No,Under $10,Go! Go! Curry!,Harlem,3.5,53,10027,567 W 125th St
82,No,Yes,Full Bar,"Romantic, Classy",Casual,Yes,Italian; ,Yes,Yes,No,NA,Dinner,No,No,Yes,NA,NA,NA,No,A,NA,NA,Quiet,No,"Garage, Street",Yes,Yes,Yes,Yes,No,$11-30,La Piccola Cucina,Manhattan Valley,4,98,10025,964 Amsterdam Ave
