,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
28,NA,Yes,Beer & Wine Only,"Casual, Intimate, Romantic, Classy",Casual,Yes,French; Wine Bars; ,Yes,No,NA,NA,"Dinner, Late Night",Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Vin Sur Vingt,Flatiron,4,120,10001,1140 Broadway
29,NA,Yes,Full Bar,"Trendy, Intimate, Romantic, Classy, Upscale",Casual,No,Steakhouses; French; Cocktail Bars; ,NA,No,No,NA,"Brunch, Lunch, Dinner, Dessert",Yes,Yes,Yes,NA,NA,NA,No,A,NA,NA,NA,No,Street,Yes,Yes,Yes,Yes,No,$31-60,Boucherie - Park,"Gramercy, Flatiron",4.5,350,10003,225 Park Ave S
30,NA,No,Beer & Wine Only,Casual,Casual,Yes,French; Desserts; ,No,Yes,NA,Yes,Brunch,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Pates Et Traditions,Williamsburg - North Side,4.5,790,11211,52 Havemeyer St
31,NA,Yes,Full Bar,Casual,Casual,Yes,French; Cajun/Creole; American (Traditional); ,No,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,NA,No,$11-30,Ducks Eatery,East Village,4,575,10003,351 E 12th St
32,NA,Yes,Full Bar,NA,Casual,Yes,French; Breakfast & Brunch; ,No,No,NA,NA,"Brunch, Dinner",Yes,No,NA,NA,NA,NA,No,A,NA,Yes,Loud,No,Street,Yes,Yes,Yes,NA,No,$31-60,Balthazar Restaurant,SoHo,4,2814,10012,80 Spring St
33,NA,Yes,Full Bar,"Casual, Trendy, Romantic, Classy",Casual,No,French; Cocktail Bars; Steakhouses; ,Yes,Yes,NA,NA,"Brunch, Lunch, Dinner, Dessert",Yes,No,Yes,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$31-60,Boucherie West Village,West Village,4.5,801,10014,99 7th Ave S
34,No,No,Full Bar,Casual,Casual,Yes,French; Cafes; Cocktail Bars; ,Yes,No,No,Yes,"Brunch, Lunch, Dinner",Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,Yes,Average,Yes,Street,No,Yes,Yes,Yes,No,$11-30,Les Enfants de Boheme,"Lower East Side, Two Bridges",4.5,172,10002,177 Henry St
35,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,American (New); French; Cafes; ,No,Yes,NA,Yes,"Brunch, Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,David’s Cafe,"East Village, Alphabet City",4,160,10009,110 St Marks Pl
36,No,Yes,Full Bar,NA,Dressy,No,French; ,No,No,No,NA,NA,No,No,NA,Yes,NA,NA,No,NA,NA,Yes,NA,No,Street,Yes,Yes,Yes,No,Free,$31-60,Petite Boucherie,West Village,4.5,69,10014,14 Christopher St
37,NA,Yes,Full Bar,Romantic,Casual,Yes,French; ,No,No,NA,Yes,"Brunch, Dinner",Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,No,Yes,Yes,NA,No,$11-30,Tournesol,"Hunters Point, Long Island City",4,387,11101,5012 Vernon Blvd
38,No,Yes,Beer & Wine Only,"Intimate, Romantic",NA,Yes,Wine Bars; ,NA,NA,No,Yes,NA,No,NA,Yes,NA,NA,NA,No,A,NA,NA,Average,No,Street,NA,No,NA,Yes,Free,Moderate,Ruffian,"East Village, Alphabet City",5,176,10009,125 E 7th St
39,NA,Yes,Full Bar,"Trendy, Classy",Casual,Yes,French; ,No,Yes,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,Yes,NA,No,$31-60,Claudette,Greenwich Village,4,316,10011,24 5th Ave
40,NA,Yes,Full Bar,Intimate,Casual,No,French; Salad; Breakfast & Brunch; ,No,Yes,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,Yes,A,NA,NA,Average,Yes,Street,Yes,Yes,Yes,NA,Free,$11-30,Bistro Les Amis,South Village,4,337,10012,180 Spring St
41,NA,Yes,Full Bar,Casual,Casual,Yes,Cafes; French; ,Yes,Yes,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,Yes,Yes,NA,Free,$11-30,Le Baratin,West Village,4,181,10011,26 Greenwich Ave
42,No,Yes,Full Bar,"Intimate, Romantic",Casual,No,French; Basque; ,No,No,NA,Yes,Dinner,No,No,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,No,Yes,NA,NA,No,$31-60,Cocotte,South Village,4,286,10012,110 Thompson St
43,NA,Yes,NA,NA,NA,NA,French; Japanese; ,NA,No,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,Yes,NA,NA,NA,NA,Restaurant Ukiyo,East Village,4.5,33,10003,239 E 5th St
44,NA,Yes,Full Bar,"Trendy, Romantic, Classy, Upscale",Dressy,No,French; ,No,No,NA,Yes,"Lunch, Dinner",Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,No,Yes,Yes,NA,No,Above $61,Le Coucou,SoHo,4,413,10013,138 Lafayette St
45,NA,No,Beer & Wine Only,Casual,Casual,Yes,Modern European; ,No,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Kafana,"Alphabet City, East Village",4,381,10009,116 Ave C
46,NA,Yes,Full Bar,Romantic,Casual,Yes,French; Bars; ,Yes,Yes,NA,NA,Dinner,Yes,No,NA,NA,NA,NA,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,$11-30,Le Midi,"Union Square, Greenwich Village",4,341,10003,11 E 13th St
47,NA,Yes,Beer & Wine Only,"Casual, Intimate, Romantic, Classy",Casual,Yes,French; Wine Bars; ,Yes,No,NA,NA,"Dinner, Late Night",Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Vin Sur Vingt,Flatiron,4,120,10001,1140 Broadway
48,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,French; Moroccan; ,No,Yes,No,Yes,Lunch,No,No,NA,NA,NA,NA,No,A,NA,Yes,Average,Yes,Street,Yes,No,Yes,Yes,No,$11-30,Café Gitane,Nolita,4,701,10012,242 Mott St
49,NA,Yes,Beer & Wine Only,Intimate,Casual,No,French; Wine Bars; ,No,No,NA,Yes,"Dinner, Late Night",Yes,No,NA,Yes,Yes,NA,No,A,Yes,Yes,Average,No,"Garage, Street",No,Yes,NA,NA,No,$11-30,Jadis,Lower East Side,4,473,10002,42 Rivington St
50,NA,Yes,Full Bar,"Intimate, Romantic",Casual,Yes,Wine Bars; French; Breakfast & Brunch; ,No,Yes,NA,Yes,Brunch,No,No,NA,NA,NA,NA,No,A,NA,Yes,Average,No,"Garage, Street",Yes,No,NA,NA,No,$11-30,Vin et Fleurs,South Village,4,371,10012,69 Thompson St
51,No,Yes,Full Bar,"Casual, Intimate, Romantic",Casual,Yes,French; Wine Bars; ,Yes,Yes,No,NA,"Lunch, Dinner",Yes,No,Yes,NA,NA,NA,No,A,NA,NA,Quiet,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Troquet,SoHo,4,111,10013,155 Grand St
52,No,Yes,Full Bar,Classy,Casual,Yes,French; Cocktail Bars; ,No,Yes,No,Yes,Dinner,Yes,No,Yes,NA,NA,NA,No,A,NA,NA,Average,No,"Garage, Street",Yes,Yes,Yes,Yes,Free,$31-60,Le Coq Rico,Flatiron,4,287,10003,30 E 20th St
53,NA,Yes,Full Bar,"Casual, Intimate, Classy",Casual,No,Japanese; French; Wine Bars; ,No,No,NA,Yes,Dinner,Yes,No,Yes,NA,NA,NA,No,NA,NA,NA,Quiet,No,Street,No,Yes,Yes,Yes,No,$31-60,Autre Kyo Ya,East Village,4,93,10003,10 Stuyvesant St
54,NA,Yes,Beer & Wine Only,Romantic,Casual,Yes,French; Jazz & Blues; ,No,Yes,NA,NA,Dinner,Yes,No,NA,NA,NA,NA,Yes,B,NA,NA,Loud,Yes,Street,Yes,Yes,NA,NA,Free,$11-30,Jules Bistro,East Village,3.5,468,10003,65 Saint Marks Pl
55,NA,Yes,NA,NA,NA,NA,French; ,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,A,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,La cafette,Williamsburg - North Side,5,29,11211,103 Havemeyer St
56,No,Yes,Full Bar,"Intimate, Romantic, Classy",Casual,Yes,French; ,No,No,No,NA,Dinner,No,No,No,NA,NA,NA,No,A,NA,NA,Average,No,Street,No,Yes,Yes,No,No,$31-60,MIMI,Greenwich Village,4,118,10012,185 Sullivan St
57,NA,Yes,Full Bar,Trendy,Casual,No,American (New); French; ,No,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,No,Yes,Yes,NA,No,$31-60,ABC Kitchen,Flatiron,4,2794,10003,35 E 18th St
58,NA,Yes,Beer & Wine Only,"Intimate, Romantic, Classy, Upscale",Dressy,No,French; ,No,No,NA,NA,Dinner,No,No,No,NA,NA,NA,No,NA,NA,NA,Quiet,Yes,NA,No,Yes,Yes,Yes,No,Above $61,L’Appart,Battery Park,5,78,10281,225 Liberty St
59,Yes,Yes,Full Bar,"Intimate, Romantic",Casual,No,French; ,No,No,NA,Yes,Dinner,No,No,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,No,Yes,NA,NA,Free,$31-60,La Sirene,South Village,4.5,1531,10013,558 Broome St
60,No,Yes,Full Bar,NA,Casual,Yes,French; Wine Bars; Grocery; ,Yes,No,NA,NA,"Brunch, Lunch, Dinner",Yes,Yes,No,NA,NA,NA,No,A,NA,Yes,Average,Yes,NA,Yes,Yes,Yes,Yes,Free,$11-30,Le District,Battery Park,3.5,453,10281,225 Liberty St
