,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
32,NA,Yes,Full Bar,Casual,Casual,No,Thai; ,Yes,Yes,No,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Quiet,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Soho Thai,SoHo,3.5,121,10013,141 Grand St
33,No,Yes,Full Bar,Casual,Casual,Yes,Thai; Salad; Noodles; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,NA,No,$11-30,Thai Sliders & Co.,Financial District,4.0,300,10038,108 John St
34,NA,Yes,Beer & Wine Only,Casual,Casual,NA,Thai; ,NA,Yes,NA,NA,Dinner,No,No,No,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,No,No,NA,No,$11-30,Uncle Boons Sister,Nolita,3.5,89,10012,203 Mott St
35,No,No,Beer & Wine Only,Casual,Casual,Yes,Asian Fusion; Malaysian; Chinese; ,No,Yes,No,NA,"Lunch, Dinner",Yes,Yes,NA,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Nyonya,Little Italy,4.0,1900,10013,199 Grand St
36,NA,Yes,Full Bar,Casual,Casual,Yes,Thai; Cocktail Bars; ,Yes,Yes,NA,Yes,Dinner,Yes,No,Yes,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Sticky Rice,Lower East Side,3.5,341,10002,85 Orchard St
37,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Thai; Soup; ,Yes,Yes,NA,Yes,Lunch,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,No,NA,NA,No,$11-30,Bennie’s Thai Cafe,Financial District,3.5,316,10038,88 Fulton St
38,No,Yes,Full Bar,Trendy,Casual,Yes,Laotian; ,Yes,Yes,Yes,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,Yes,Yes,Average,Yes,"Garage, Street",Yes,Yes,Yes,Yes,Free,$31-60,Khe-Yo,TriBeCa,4.0,618,10013,157 Duane St
39,NA,Yes,No,Casual,Casual,Yes,Thai; ,Yes,Yes,NA,NA,Lunch,No,Yes,NA,Yes,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,No,Yes,NA,No,Under $10,Aroy Dee Thai Kitchen,Financial District,3.5,339,10038,20 John St
40,NA,Yes,Full Bar,NA,Casual,Yes,Thai; Breakfast & Brunch; Irish; ,No,Yes,NA,NA,Lunch,No,No,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Lovely Day,Nolita,3.5,319,10012,196 Elizabeth St
41,NA,Yes,Full Bar,Casual,Casual,Yes,Malaysian; Thai; Singaporean; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Rasa,Greenwich Village,4.0,575,10011,25 W 8th St
42,NA,NA,NA,NA,NA,NA,Street Vendors; Thai; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai sidewalk,Downtown Brooklyn,4.5,9,11201,NA
43,NA,No,No,Casual,Casual,No,Food Trucks; Thai; ,No,No,NA,NA,Lunch,No,No,NA,NA,NA,NA,No,NA,NA,NA,Very Loud,No,NA,Yes,No,NA,NA,No,Under $10,Luckyim Thai,Financial District,4.0,143,10005,10 Hanover Sq
44,NA,NA,NA,NA,NA,NA,Thai; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little Wayla,Lower East Side,5.0,1,10002,100 Forsyth St
45,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Thai; ,No,Yes,Yes,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,Yes,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Tue Thai Restaurant,West Village,3.5,313,10014,3 Greenwich Ave
46,NA,NA,NA,NA,NA,NA,Thai; Food Trucks; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai Street Food,Financial District,4.5,11,10006,89 Broadway
47,No,Yes,No,Casual,Casual,No,Asian Fusion; Malaysian; Chinese; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,No,NA,NA,Yes,Average,No,Street,Yes,No,Yes,Yes,No,Under $10,Asian Spicy Curry Pop-up,"Chinatown, Civic Center",4.5,123,10013,46 Mulberry St
48,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Vietnamese; ,No,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,Yes,No,A,Yes,Yes,Average,No,Street,Yes,No,Yes,NA,No,Under $10,Thái Son,Chinatown,3.5,785,10013,89 Baxter St
49,NA,Yes,No,Casual,Casual,Yes,Thai; ,Yes,Yes,NA,NA,Lunch,No,No,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,Yes,No,No,Under $10,22 Thai Cuisine,Financial District,2.5,146,10038,59 Nassau St
