,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
112,Trinity Place,115 Broadway,10006,313,4.0,Financial District,A,$11-30,NA,Yes,No,Yes,Yes,No,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,NA,No,No,Yes,No,NA,Yes,American (New); Irish Pub; ,NA,NA,NA,NA,Dinner,Classy,Yes
113,TJ Byrnes Bar & Restaurant,77 Fulton St,10038,26,3.5,Financial District,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,"Garage, Street",Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,Free,Yes,NA,NA,Yes,American (Traditional); Irish Pub; Burgers; ,NA,NA,NA,NA,"Lunch, Dinner, Late Night",Casual,NA
114,Sandwich House,17 Ann St,10038,242,4.0,Financial District,A,Under $10,Yes,No,Yes,Yes,Yes,No,Street,Yes,No,Yes,No,NA,Average,No,NA,No,Free,No,No,NA,Yes,Sandwiches; Italian; ,NA,Yes,Yes,NA,Lunch,Casual,Yes
115,Made Fresh Daily,226 Front St,10038,180,4.0,"South Street Seaport, Financial District",A,$11-30,NA,No,NA,Yes,Yes,NA,Street,Yes,NA,Yes,No,NA,Quiet,No,NA,Yes,Free,No,NA,NA,Yes,Coffee & Tea; Sandwiches; Breakfast & Brunch; ,NA,NA,NA,NA,"Breakfast, Lunch",Casual,Yes
116,My Belly’s Playlist,87 Washington St,10006,112,3.5,Financial District,A,$11-30,NA,No,Yes,Yes,Yes,NA,Street,Yes,NA,No,No,NA,Average,No,NA,No,Free,No,No,No,Yes,Sandwiches; Coffee & Tea; Breakfast & Brunch; ,NA,NA,NA,NA,Lunch,Casual,NA
117,Flavors,42 Broadway,10004,15,4.0,Financial District,NA,Under $10,Yes,No,Yes,Yes,Yes,NA,NA,NA,NA,Yes,No,NA,NA,No,NA,No,NA,No,NA,NA,NA,Cafes; Sandwiches; Salad; ,NA,NA,NA,NA,NA,NA,NA
118,Subway,28 Water St,10004,5,2.5,Financial District,A,NA,NA,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Sandwiches; Fast Food; ,NA,NA,NA,NA,NA,NA,NA
119,Potbelly Sandwich Shop,127 Fulton St,10038,32,3.5,Financial District,A,Under $10,NA,No,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Average,No,NA,No,No,No,NA,NA,Yes,Sandwiches; Fast Food; Salad; ,NA,NA,NA,NA,Lunch,Casual,Yes
120,Turkish Kitchen,386 3rd Ave,10016,533,4.0,Kips Bay,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,Yes,Yes,Turkish; Mediterranean; Halal; ,NA,NA,NA,NA,Dinner,Classy,NA
121,Maialino,2 Lexington Ave,10010,1272,4.0,"Gramercy, Flatiron",A,$31-60,NA,Yes,No,No,Yes,NA,Street,No,NA,No,Yes,Casual,Average,Full Bar,Yes,No,No,No,NA,NA,No,Italian; Breakfast & Brunch; Bars; ,NA,NA,NA,NA,Dinner,Classy,NA
