,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,Hygiene_score,price_range,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Apple Pay,Accepts Google Pay,Accepts Bitcoin,Good For,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Ambience,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Gender Neutral Restrooms,Has Dairy-free Options,Liked by Vegetarians,Liked by Vegans,Good For Dancing,Best Nights,Good for Working,Has Pool Table,Open to All,Coat Check,Has Soy-free Options,Has Gluten-free Options,Smoking,Has Kosher Options,Offers Military Discount
66,Pei Wei,3535 S Peoria Ave,74105,49,3.5,NA,Under $10,No,No,Yes,Yes,Yes,NA,NA,"Lunch, Dinner",Private Lot,Yes,NA,Yes,Yes,NA,Casual,Quiet,Beer & Wine Only,NA,Yes,No,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA
67,Hunan Chinese Restaurant,1350 SE Washington Blvd,74006,17,2.0,NA,Under $10,No,Yes,Yes,Yes,NA,NA,NA,NA,NA,No,NA,Yes,Yes,Casual,NA,Quiet,Beer & Wine Only,NA,No,No,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,China Cafe,480 E 141st St,74033,23,3.5,NA,Under $10,No,No,Yes,Yes,No,NA,NA,"Lunch, Dinner",Private Lot,Yes,NA,Yes,Yes,Casual,NA,Average,No,NA,No,No,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Mandarin Taste,6125 S Sheridan Rd,74133,134,4.0,NA,$11-30,Yes,Yes,Yes,Yes,NA,NA,NA,"Lunch, Dinner",Private Lot,Yes,NA,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,NA,No,Free,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Pei Wei,5954 S Yale Ave,74135,57,3.0,NA,$11-30,No,No,Yes,Yes,Yes,NA,NA,"Lunch, Dinner",NA,Yes,NA,Yes,Yes,NA,NA,Loud,Beer & Wine Only,NA,Yes,No,No,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA
71,Asahi Japanese Restaurant,7831 E 71st St,74133,37,3.0,NA,$11-30,No,Yes,Yes,Yes,NA,NA,NA,Dinner,Private Lot,Yes,NA,Yes,Yes,Casual,Casual,Quiet,Beer & Wine Only,NA,No,Free,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Panda Express,1314 E Hillside Dr,74012,10,2.5,NA,Under $10,No,No,Yes,Yes,NA,NA,NA,NA,NA,No,NA,Yes,No,NA,NA,NA,No,NA,Yes,Paid,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Naples Flatbread Kitchen & Bar on Denver Avenue,201 S Denver AveSte 107,74103,107,4.0,NA,$11-30,Yes,No,Yes,Yes,No,NA,No,"Lunch, Dinner, Dessert","Garage, Street, Private Lot",Yes,Yes,Yes,Yes,NA,Casual,Average,Full Bar,Yes,Yes,Free,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA
74,P.F. Chang’s,1978 E 21st St,74114,97,3.5,NA,$11-30,Yes,Yes,Yes,Yes,No,NA,NA,"Lunch, Dinner",Private Lot,Yes,NA,Yes,Yes,NA,Casual,Average,Full Bar,NA,Yes,No,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA
75,Pei Wei,4609 W Kenosha St,74012,42,3.0,NA,$11-30,No,No,Yes,Yes,Yes,NA,NA,Lunch,NA,No,NA,Yes,Yes,NA,NA,Average,Beer & Wine Only,NA,Yes,Free,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA
76,Oiji,119 1st Ave,10003,431,4.5,A,$31-60,Yes,No,No,Yes,No,NA,NA,Dinner,Street,Yes,NA,No,Yes,Casual,Trendy,Average,Full Bar,NA,No,No,No,NA,Yes,No,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Mono+Mono,116 E 4th St,10003,335,4.0,NA,$11-30,Yes,No,Yes,Yes,NA,NA,NA,Dinner,Street,NA,NA,No,Yes,NA,Trendy,Average,Beer & Wine Only,NA,No,No,No,NA,NA,No,NA,NA,Yes,NA,NA,"Thu, Fri, Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Thursday Kitchen,424 E 9th St,10009,1049,4.5,A,$11-30,No,No,No,Yes,No,No,No,Dinner,Street,No,No,No,Yes,Casual,"Casual, Trendy",Average,Beer & Wine Only,No,No,No,No,No,Yes,No,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,K’OOK,324 E 6th St,10003,369,4.0,A,$11-30,Yes,Yes,Yes,Yes,No,No,NA,"Lunch, Dinner",Street,Yes,No,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,NA,No,Free,No,No,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Hwaban,55 W 19th St,10011,47,4.5,NA,NA,Yes,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Handsome Rice,133 E 31st St,10016,18,4.0,NA,NA,No,Yes,Yes,Yes,No,No,No,NA,NA,No,Yes,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Soogil,108 E 4th St,10003,62,4.0,NA,$31-60,Yes,No,Yes,Yes,NA,NA,No,NA,Street,No,No,No,Yes,Casual,NA,Average,Beer & Wine Only,NA,No,Free,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Bap,516A 3rd Ave,10016,49,4.5,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Casual,NA,Average,Full Bar,No,No,Free,No,No,Yes,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA
84,Boka,9 St Marks Pl,10003,1407,3.5,A,$11-30,Yes,Yes,Yes,Yes,No,No,NA,"Dinner, Late Night",Street,Yes,NA,No,Yes,Casual,Casual,Average,Full Bar,NA,No,No,No,No,NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Gomi Korean Wine Bar,186 Ave A,10009,94,4.5,A,$11-30,Yes,No,Yes,Yes,No,NA,No,NA,Street,No,Yes,Yes,Yes,Casual,Casual,Quiet,Beer & Wine Only,Yes,No,Free,Yes,No,Yes,No,Yes,NA,NA,NA,No,"Fri, Sat",NA,NA,NA,No,NA,NA,No,NA,NA
86,Grand Seoul,85 Chrystie St,10002,41,4.5,A,$31-60,Yes,No,Yes,Yes,No,NA,NA,NA,Street,No,Yes,Yes,Yes,Casual,"Casual, Trendy",Average,Beer & Wine Only,No,No,Free,No,No,Yes,No,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA
87,Woo SoHo,206 Spring St,10012,21,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Lauren’s Chicken,160 E 23rd St,10010,24,4.0,NA,NA,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Her Name Is Han,17 E 31st St,10016,943,4.0,A,$11-30,Yes,No,Yes,Yes,No,No,NA,"Lunch, Dinner",Street,Yes,No,Yes,Yes,Casual,"Casual, Trendy",Average,Beer & Wine Only,No,No,No,No,No,Yes,No,Yes,NA,Yes,NA,No,Sat,NA,No,NA,NA,NA,NA,NA,NA,NA
90,Fat Buddha,212 Ave A,10009,594,4.0,A,$11-30,Yes,No,Yes,Yes,No,NA,NA,Late Night,Street,Yes,Yes,No,Yes,Casual,Casual,Loud,Full Bar,Yes,No,No,Yes,No,No,Yes,NA,NA,NA,NA,Yes,"Thu, Fri, Sat",NA,No,NA,Yes,NA,NA,No,NA,NA
