,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
161,Jane,100 W Houston St,10012,2968,4.0,Greenwich Village,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,No,No,No,No,Yes,Yes,Breakfast & Brunch; American (New); Bars; ,NA,NA,Yes,NA,Brunch,Casual,Yes
162,Grape and Grain,620 E 6th St,10009,292,4.0,"Alphabet City, East Village",A,$11-30,Yes,Yes,No,No,Yes,NA,Street,No,NA,No,Yes,Casual,Average,Beer & Wine Only,NA,No,No,No,No,Yes,Yes,Wine Bars; American (New); Breakfast & Brunch; ,NA,NA,NA,NA,Dinner,"Intimate, Romantic",Yes
163,East Village Social,126 St Marks St,10009,112,4.0,"East Village, Alphabet City",C,$11-30,NA,No,No,No,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,Yes,No,Free,Yes,NA,NA,No,Bars; American (Traditional); ,NA,NA,NA,NA,Late Night,Casual,Yes
164,Midwinter Kitchen,327 2nd Ave,10003,430,4.5,Gramercy,A,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,No,Yes,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,No,Yes,Yes,American (New); ,NA,NA,NA,NA,Brunch,Casual,Yes
165,Boulton & Watt,5 Ave A,10009,630,4.0,"Alphabet City, Lower East Side",A,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,NA,No,Free,Yes,NA,NA,Yes,American (New); Gastropubs; ,NA,NA,Yes,NA,"Brunch, Dinner",Casual,NA
166,Boticarios,58 E 1st St,10003,86,4.5,East Village,NA,$11-30,NA,Yes,Yes,Yes,Yes,No,Street,No,Yes,Yes,Yes,Casual,NA,Full Bar,Yes,No,Free,No,No,Yes,Yes,Cocktail Bars; Latin American; Gastropubs; ,NA,NA,NA,NA,Dinner,"Casual, Romantic",NA
167,Carma East,507 E 6th St,10009,201,4.0,"East Village, Alphabet City",B,$11-30,NA,Yes,Yes,Yes,Yes,No,NA,No,No,Yes,Yes,Casual,Average,Beer & Wine Only,Yes,No,Free,No,Yes,Yes,Yes,Bars; Dim Sum; Taiwanese; ,NA,NA,NA,NA,"Brunch, Lunch, Dinner","Casual, Trendy",Yes
168,Gotham Bar and Grill,12 E 12th St,10003,1490,4.5,"Union Square, Greenwich Village",A,Above $61,NA,Yes,No,No,Yes,NA,"Garage, Street",No,NA,No,Yes,Dressy,Average,Full Bar,No,No,Free,No,NA,NA,No,American (New); Bars; ,NA,NA,NA,NA,Dinner,"Classy, Upscale",NA
169,The Bari,417 Lafayette St,10003,120,4.0,NoHo,NA,$11-30,Yes,Yes,Yes,Yes,Yes,No,"Garage, Street, Private Lot",No,Yes,No,Yes,Casual,NA,Full Bar,Yes,No,No,No,No,Yes,No,Korean; Cocktail Bars; American (New); ,Yes,NA,Yes,NA,Dinner,"Trendy, Romantic, Classy, Upscale",Yes
170,The Brazen Fox,106 3rd Ave,10003,340,3.5,East Village,A,$11-30,Yes,Yes,No,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,NA,Yes,Free,Yes,NA,NA,No,American (New); Bars; ,NA,NA,NA,NA,"Dinner, Late Night",Casual,NA
171,Beauty & Essex,146 Essex St,10002,3068,4.0,Lower East Side,A,$31-60,Yes,Yes,Yes,Yes,Yes,NA,Street,No,NA,No,Yes,Dressy,Loud,Full Bar,NA,No,No,No,No,NA,No,American (New); ,NA,NA,Yes,NA,Dinner,Trendy,NA
172,Royale,157 Ave C,10009,444,4.0,"Alphabet City, East Village",B,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,NA,Yes,Free,Yes,NA,NA,Yes,Burgers; Bars; ,NA,NA,NA,NA,Dinner,Casual,Yes
173,The Mermaid Inn,96 2nd Ave,10003,1238,4.0,East Village,A,$11-30,Yes,Yes,No,No,Yes,NA,Street,Yes,Yes,No,Yes,Casual,Average,Full Bar,Yes,Yes,No,No,NA,Yes,No,Seafood; ,NA,NA,Yes,NA,Dinner,Casual,Yes
174,Tableside Italian Cook Shoppe,345 E 6th St,10003,171,4.5,East Village,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,"Garage, Street",Yes,Yes,No,Yes,Casual,Average,Full Bar,Yes,No,Free,Yes,NA,Yes,No,Italian; ,NA,NA,NA,NA,Dinner,"Trendy, Intimate, Romantic, Classy",Yes
175,DokoDemo,89 E 4th St,10003,190,4.5,East Village,A,Under $10,Yes,No,Yes,Yes,Yes,No,Street,Yes,No,Yes,Yes,Casual,Average,Beer & Wine Only,NA,Yes,Free,No,Yes,No,Yes,Teppanyaki; Ramen; ,NA,NA,NA,NA,"Lunch, Dinner","Casual, Trendy",Yes
