,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighborhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address,Source
74,,Yes,Beer & Wine Only,"Hipster, Casual, Trendy, Intimate",Casual,,Sushi Bars; ,,Yes,,,"Lunch, Dinner",Yes,Yes,Yes,Yes,,,Yes,A,,Yes,Average,No,,Yes,Yes,Yes,Yes,Free,$11-30,Shinsen,Chinatown,4.0,110.0,10013.0,44 Bowery,Japanese
77,,Yes,,,Casual,,Japanese; Sushi Bars; ,,No,,,,Yes,No,,,,,No,A,,,,No,,No,Yes,,,Free,$11-30,Tetsu,"TriBeCa, Civic Center",3.5,64.0,10013.0,78 Leonard St,Japanese
79,,Yes,No,"Casual, Trendy",Casual,,Japanese; Sushi Bars; ,,No,No,,"Lunch, Dinner",Yes,Yes,,,,,Yes,A,Yes,,Quiet,No,,Yes,Yes,Yes,No,No,$11-30,Matsunichi,Chinatown,4.0,68.0,10013.0,14-18 Elizabeth St32-33,Japanese
80,,Yes,Beer & Wine Only,"Hipster, Casual",Casual,,Asian Fusion; Japanese; American (New); ,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,,No,,Yes,No,,Yes,Free,$11-30,Omakasa,Nolita,4.0,57.0,10012.0,56 Spring St,Japanese
81,No,Yes,Beer & Wine Only,,Casual,Yes,Japanese; Hot Pot; ,No,No,No,Yes,Dinner,No,No,,,,,No,,,Yes,,No,Street,No,Yes,Yes,No,No,Above $61,Shabushabu Macoron,Lower East Side,4.5,44.0,10002.0,61 Delancey,Japanese
82,,Yes,Beer & Wine Only,Casual,Casual,No,Ramen; ,No,No,,Yes,Dinner,No,No,,,,,No,A,,,Average,No,Street,No,No,No,No,Free,$11-30,Ramen Lab,"Nolita, Little Italy",4.0,292.0,10012.0,70 Kenmare St,Japanese
83,,Yes,Beer & Wine Only,Casual,Casual,No,Ramen; Sushi Bars; Noodles; ,Yes,No,No,,"Lunch, Dinner",Yes,Yes,,Yes,,,No,A,Yes,Yes,Average,No,Street,Yes,Yes,,,No,$11-30,Ajisen Ramen,"Chinatown, Civic Center",3.5,332.0,10013.0,14 Mott St,Japanese
84,,Yes,Beer & Wine Only,Trendy,Casual,Yes,Japanese; Sushi Bars; ,Yes,Yes,,,Dinner,Yes,Yes,,,,,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,,,No,$31-60,Suteishi,"South Street Seaport, Financial District",4.0,427.0,10038.0,24 Peck Slip,Japanese
85,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Ramen; ,No,No,No,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,No,,,Free,$11-30,Bassanova Ramen,Chinatown,3.5,723.0,10013.0,76 Mott St,Japanese
86,No,Yes,Beer & Wine Only,"Trendy, Intimate",Casual,No,Japanese; Comfort Food; Tapas/Small Plates; ,No,No,No,Yes,Dinner,Yes,No,Yes,,,,No,A,,,Average,No,Street,No,No,Yes,No,No,$11-30,Benemon,East Village,4.5,434.0,10003.0,108 E 4th St,Japanese
87,,No,Beer & Wine Only,Casual,Casual,Yes,Japanese; Noodles; ,No,Yes,No,Yes,"Lunch, Dinner",No,No,,Yes,,,No,A,Yes,Yes,Average,No,Street,Yes,No,Yes,No,No,$11-30,Raku,East Village,4.5,777.0,10003.0,342 E 6th St,Japanese
88,,Yes,Beer & Wine Only,Casual,Casual,No,Izakaya; Tapas/Small Plates; Ramen; ,No,No,,Yes,Dinner,No,No,,,,,No,A,,,Average,No,Street,Yes,Yes,Yes,No,No,$11-30,Izakaya,East Village,4.0,231.0,10003.0,326 E 6th St,Japanese
89,,Yes,Beer & Wine Only,Casual,Casual,Yes,Sushi Bars; Izakaya; Comfort Food; ,No,No,,,"Dinner, Late Night",Yes,No,,,,,No,A,,,Loud,No,Street,Yes,No,Yes,,No,$11-30,Yakitori Taisho,East Village,3.5,1522.0,10003.0,5 St Marks PlSte 1,Japanese
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelp,,,,,,Japanese
0,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Specialty Food; Spanish; Imported Food; ,Yes,Yes,,Yes,Lunch,Yes,Yes,,,,,No,,,,Average,No,Street,Yes,No,,,Free,$11-30,Despaña,SoHo,4.5,529.0,10013,408 Broome St,Spanish
1,,Yes,Full Bar,Trendy,Casual,No,Spanish; ,Yes,Yes,,Yes,Dinner,Yes,No,,Yes,,,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,,,Free,$31-60,Boqueria Spanish Tapas - Soho,South Village,4.0,874.0,10012,171 Spring St,Spanish
2,,Yes,Full Bar,"Casual, Trendy, Intimate, Romantic, Classy",Casual,Yes,Wine Bars; Spanish; Tapas Bars; ,No,No,No,,"Brunch, Lunch, Dinner",Yes,Yes,Yes,,,,Yes,A,Yes,Yes,Average,No,Street,No,Yes,Yes,Yes,Free,$31-60,Tomiño Taberna Gallega,Little Italy,4.5,144.0,10013,192 Grand St,Spanish
3,No,Yes,Full Bar,Classy,Casual,Yes,Cuban; Cocktail Bars; ,No,No,No,,"Dinner, Late Night",Yes,No,No,,,,No,,,,Average,No,Street,No,Yes,Yes,Yes,Free,$31-60,BlackTail,Battery Park,4.5,223.0,10004,22 Battery PlFl 2 Pier A,Spanish
4,,Yes,Full Bar,Casual,Casual,No,Cocktail Bars; Latin American; Tapas/Small Plates; ,,Yes,,,"Lunch, Dinner",Yes,No,Yes,,,,Yes,A,,,,No,,Yes,Yes,Yes,Yes,Free,$11-30,Latin Social,Financial District,3.5,30.0,10038,75 Maiden Ln,Spanish
5,,Yes,Full Bar,Trendy,Casual,Yes,Mediterranean; Spanish; Bars; ,No,No,,Yes,Dinner,Yes,No,No,,,,No,A,Yes,Yes,Average,No,Street,No,Yes,Yes,,No,$31-60,Gato,NoHo,4.0,1005.0,10012,324 Lafayette St,Spanish
6,,Yes,Beer & Wine Only,,Casual,,Spanish; ,,Yes,,,,No,Yes,,,,,,,,,,,,Yes,No,,,,Under $10,Jordis Place,Two Bridges,4.5,7.0,10038,51 Catherine St,Spanish
7,No,Yes,No,Casual,,Yes,Cuban; Sandwiches; ,Yes,Yes,,,Lunch,Yes,Yes,,,,,No,,,,Average,No,Street,Yes,No,,,No,$11-30,Sophie?s Cuban Cuisine,Financial District,3.5,398.0,10004,73 New St,Spanish
8,No,Yes,Full Bar,Trendy,Casual,Yes,Spanish; Tapas Bars; Tapas/Small Plates; ,Yes,No,,Yes,Dinner,Yes,No,Yes,,,,Yes,A,,,Average,No,Street,Yes,Yes,,,No,$31-60,Socarrat Paella Bar - Nolita,Nolita,4.0,426.0,10012,284 Mulberry St,Spanish
9,,No,Beer & Wine Only,Casual,,No,Sandwiches; Cafes; Spanish; ,Yes,Yes,,,Dessert,No,Yes,,,,,No,A,,Yes,Quiet,No,Street,Yes,,,,Free,Under $10,La Churreria,Nolita,4.0,285.0,10012,284 Mulberry St,Spanish
10,No,Yes,Full Bar,"Casual, Trendy, Intimate",Casual,Yes,Mediterranean; Tapas/Small Plates; Wine Bars; ,Yes,Yes,No,Yes,Dinner,Yes,No,Yes,,,,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,Balzem,Nolita,4.0,358.0,10012,202 Mott St,Spanish
11,,Yes,Full Bar,Trendy,Casual,Yes,Mexican; Tapas/Small Plates; Tapas Bars; ,Yes,Yes,,Yes,"Brunch, Lunch, Dinner",Yes,No,Yes,,,,No,,,Yes,Average,Yes,Street,Yes,Yes,Yes,No,Free,$11-30,Anejo Tribeca,TriBeCa,3.5,264.0,10013,301 Church St,Spanish
12,,Yes,Full Bar,Casual,Casual,Yes,Cuban; Mexican; ,No,Yes,,Yes,"Lunch, Dinner",No,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,No,Yes,,No,$11-30,Cafe Habana,Nolita,4.0,3072.0,10012,17 Prince St,Spanish
13,,Yes,Full Bar,,Casual,Yes,Cuban; ,No,Yes,No,,Dinner,Yes,No,,,,,No,A,Yes,Yes,Average,No,Street,Yes,Yes,,,No,$11-30,Cuba Restaurant and Rum Bar,Greenwich Village,4.0,1425.0,10012,222 Thompson St,Spanish
14,No,Yes,Full Bar,Casual,Casual,Yes,Tapas Bars; Spanish; ,No,No,,,"Dinner, Late Night",Yes,No,,,,,No,A,,,Average,Yes,Street,Yes,Yes,,,No,$11-30,Kaña Tapas Bar,South Village,3.5,80.0,10013,324 Spring St,Spanish
15,,No,No,,,Yes,Puerto Rican; Food Stands; ,No,No,,,,No,Yes,,,,,No,,,,Very Loud,No,,Yes,No,,,No,Under $10,Sandra?s Food Spot Cart,Financial District,4.5,30.0,10005,Nassua St,Spanish
16,,Yes,Beer & Wine Only,"Casual, Intimate",Casual,No,Tapas Bars; Asian Fusion; Izakaya; ,No,No,,Yes,"Brunch, Dinner",No,No,Yes,,,,No,A,,Yes,Quiet,No,,Yes,Yes,No,No,Free,$11-30,Rabbit House,Lower East Side,4.5,177.0,10002,76 Forsyth St,Spanish
17,,Yes,Full Bar,"Trendy, Intimate, Classy",Casual,Yes,Tapas/Small Plates; American (New); Cocktail Bars; ,,No,,,"Lunch, Dinner, Late Night, Dessert",Yes,No,Yes,,,,Yes,,,Yes,Average,No,Street,No,Yes,Yes,,No,$31-60,The Tuck Room,South Street Seaport,4.0,192.0,10038,11 Fulton St,Spanish
18,No,Yes,No,Casual,Casual,Yes,Cuban; ,Yes,Yes,,,Lunch,Yes,Yes,,,,,No,A,,,Loud,No,Street,Yes,No,,,No,$11-30,Sophie?s Cuban Cuisine,"Civic Center, TriBeCa",3.5,219.0,10007,96 Chambers St,Spanish
19,No,Yes,Full Bar,"Intimate, Romantic",Casual,No,French; Basque; ,No,No,,Yes,Dinner,No,No,,,,,No,A,,,Average,No,Street,No,Yes,,,No,$31-60,Cocotte,South Village,4.0,286.0,10012,110 Thompson St,Spanish
20,,Yes,Beer & Wine Only,Intimate,Casual,Yes,Korean; Desserts; Tapas/Small Plates; ,Yes,Yes,No,Yes,Dinner,Yes,No,,,,,No,C,Yes,Yes,Average,No,"Garage, Street",Yes,Yes,,,No,$11-30,Kori Tribeca,TriBeCa,4.0,452.0,10013,253 Church St,Spanish
21,No,Yes,No,Casual,Casual,Yes,Cuban; ,Yes,Yes,No,Yes,Lunch,Yes,Yes,,,,,No,A,,,Average,No,,Yes,No,Yes,No,No,$11-30,Sophies Cuban Cuisine,Financial District,3.5,145.0,10038,76 Fulton St,Spanish
22,,,,,,,Spanish; ,,,,,,,,,,,,,,,,,,,,,,,,,Lamoraga,,,,10004,17 Battery Pl,Spanish
23,,Yes,Full Bar,Romantic,Casual,Yes,Argentine; Italian; Spanish; ,Yes,Yes,,,Dinner,Yes,Yes,,,,,Yes,A,,,Average,Yes,,Yes,Yes,,,Free,$11-30,Estancia 460,TriBeCa,4.0,116.0,10013,460 Greenwich St,Spanish
24,,,,,,,Spanish; Basque; ,,,,,,,,,,,,,,,,,,,,,,,,,Darlene,TriBeCa,2.5,2.0,10013,251 Church St,Spanish
25,No,Yes,Full Bar,Trendy,Casual,Yes,Latin American; Breakfast & Brunch; Mexican; ,Yes,Yes,No,Yes,Dinner,Yes,No,,,Yes,,No,A,,,Average,Yes,Street,Yes,Yes,Yes,Yes,No,$11-30,La Esquina,"Nolita, Little Italy",3.5,1882.0,10012,114 Kenmare St,Spanish
26,,Yes,Full Bar,,Casual,Yes,Tapas/Small Plates; Cocktail Bars; Mediterranean; ,No,No,,Yes,Dinner,Yes,No,Yes,,,,No,A,,,Average,No,Street,No,Yes,,Yes,No,$31-60,Cata Restaurant,Lower East Side,3.5,295.0,10002,245 Bowery,Spanish
27,,Yes,Full Bar,,Casual,,Tapas Bars; ,,Yes,,,,Yes,No,,,,,No,,,,Quiet,Yes,,Yes,Yes,,,No,$11-30,Salon de Tapas,Greenwich Village,3.5,17.0,10012,190 Sullivan St,Spanish
28,,Yes,Full Bar,Casual,Casual,Yes,Cuban; Brazilian; Breakfast & Brunch; ,Yes,Yes,,Yes,"Brunch, Lunch, Dinner",Yes,Yes,Yes,,,,Yes,B,Yes,Yes,Average,Yes,Street,Yes,Yes,,,Free,$11-30,Favela Cubana,Greenwich Village,4.0,924.0,10012,543 LaGuardia Pl,Spanish
48,No,Yes,Full Bar,Romantic,Casual,Yes,Tapas/Small Plates; Italian; ,Yes,Yes,,,Dinner,Yes,No,,,,,No,A,,Yes,Average,Yes,Street,Yes,Yes,,,Free,$11-30,Terra Wine Bar,TriBeCa,3.5,319.0,10013,222 W Broadway,Spanish
49,,No,No,Casual,,Yes,Soul Food; Food Stands; Trinidadian; ,No,No,,,,No,Yes,,,,,No,,,,Loud,No,Street,Yes,No,,,No,Under $10,Veronica?s Kitchen,Financial District,4.0,151.0,10005,Front St & Pine St,Spanish
50,No,Yes,Full Bar,Casual,Casual,No,Colombian; Empanadas; Breakfast & Brunch; ,Yes,Yes,No,Yes,"Lunch, Dinner, Late Night",Yes,Yes,,,,,Yes,,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,Under $10,Empanada Mama L.E.S,Lower East Side,4.0,529.0,10002,95 Allen St,Spanish
51,No,Yes,Beer & Wine Only,,Casual,Yes,Latin American; ,Yes,Yes,No,Yes,"Breakfast, Lunch",No,Yes,,,,,Yes,A,,,Average,No,Street,Yes,No,Yes,Yes,Free,Under $10,Tauro Restaurant,South Village,3.5,32.0,10013,284 Hudson St,Spanish
52,,Yes,Beer & Wine Only,"Divey, Casual",Casual,Yes,Coffee & Tea; Latin American; ,No,Yes,,,Lunch,Yes,Yes,,,,,Yes,A,,,Loud,No,Street,Yes,No,,,No,Under $10,Westside Coffee Shop,TriBeCa,4.0,70.0,10013,323 Church St,Spanish
53,,Yes,Full Bar,Trendy,Casual,Yes,Asian Fusion; Portuguese; Chinese; ,No,Yes,,Yes,"Dinner, Late Night",Yes,No,,,,,No,A,,,Average,No,Street,Yes,Yes,,,Free,$31-60,Macao trading Co,TriBeCa,4.0,685.0,10013,311 Church St,Spanish
54,,Yes,Full Bar,Trendy,Casual,No,Cuban; Latin American; Asian Fusion; ,No,No,,Yes,Dinner,Yes,No,,,,,No,B,,,Average,No,Street,Yes,Yes,Yes,Yes,Free,$31-60,Asia de Cuba,NoHo,3.5,221.0,10003,415 Lafayette St,Spanish
55,,Yes,Beer & Wine Only,,Casual,Yes,Beer Bar; Wine Bars; Tapas/Small Plates; ,,No,,,,Yes,No,Yes,,,,No,A,,,Loud,No,,No,No,Yes,,Free,$11-30,BeerZaar,South Village,4.5,26.0,10014,213 6th Ave,Spanish
56,,Yes,Beer & Wine Only,,Casual,Yes,Mexican; Cuban; ,No,Yes,,,,No,Yes,,,,,No,,,,Average,No,Street,Yes,No,,,No,Under $10,Habana To-Go,Nolita,4.0,260.0,10012,229 Elizabeth St,Spanish
57,,Yes,Full Bar,Trendy,Casual,Yes,Latin American; Cocktail Bars; Tapas/Small Plates; ,No,Yes,,Yes,Dinner,Yes,No,Yes,,,,Yes,A,,Yes,Average,Yes,Street,Yes,Yes,,,No,$11-30,Oficina Latina,Nolita,3.0,350.0,10012,24 Prince St,Spanish
77,No,Yes,Full Bar,Trendy,Casual,No,Caribbean; Lounges; ,Yes,Yes,No,,Dinner,Yes,No,Yes,,,,Yes,A,,Yes,Average,No,Street,Yes,Yes,,No,Free,$11-30,Negril Village,Greenwich Village,3.5,1102.0,10012,70 W 3rd St,Spanish
88,,Yes,No,,Casual,,Salvadoran; ,,,,,,Yes,Yes,,,,,Yes,,,,Average,No,,Yes,No,No,,No,Under $10,Sabor CentroAmericano,East Tulsa,4.5,13.0,74112,1 S Sheridan Rd,Spanish
89,,Yes,,,Casual,Yes,Venezuelan; Colombian; Peruvian; ,,No,,,,No,Yes,,,,,,,,,Quiet,Yes,,Yes,No,,,,$11-30,Manos Peruanas,,4.5,21.0,74133,6703 E 81st StSte D,Spanish
95,,Yes,Full Bar,Casual,Casual,Yes,Spanish; Bars; Seafood; ,Yes,No,,,Dinner,Yes,Yes,No,,,,Yes,A,,,Average,No,Street,Yes,Yes,,,Free,$11-30,Sevilla Restaurant,West Village,3.5,409.0,10014,62 Charles St,Spanish
96,,Yes,,,,,Spanish; ,,No,,,,Yes,No,,,,,,,,,,,,No,Yes,,,,$11-30,Las? Lap,Lower East Side,4.5,18.0,10002,74 Orchard St,Spanish
99,,Yes,Beer & Wine Only,Casual,Casual,Yes,Tapas Bars; Spanish; Breakfast & Brunch; ,No,No,,Yes,Dinner,Yes,No,Yes,,,,Yes,A,,,Average,Yes,"Garage, Street",Yes,Yes,Yes,,No,$11-30,Nai Tapas,East Village,4.0,812.0,10003,85 2nd Ave,Spanish
101,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Latin American; Spanish; Breakfast & Brunch; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,A,,,Average,No,Street,Yes,Yes,,,Free,Under $10,El Castillo De Jagua,Lower East Side,3.5,219.0,10002,113 Rivington St,Spanish
104,,Yes,Full Bar,Romantic,Casual,No,Tapas Bars; Mediterranean; Spanish; ,No,No,,,Dinner,Yes,No,,,,,No,A,,,Loud,No,Street,No,Yes,Yes,,No,$31-60,Alta,Greenwich Village,4.0,1739.0,10011,64 W 10th St,Spanish
105,,Yes,Full Bar,Casual,Casual,Yes,Latin American; Tapas Bars; Cocktail Bars; ,No,No,No,Yes,Dinner,Yes,No,Yes,Yes,,,Yes,A,Yes,Yes,Loud,Yes,Street,Yes,Yes,,,No,$11-30,Yuca Bar,"East Village, Alphabet City",4.0,1654.0,10009,111 Avenue A,Spanish
106,,Yes,Full Bar,Trendy,Casual,No,Spanish; Basque; ,No,No,,Yes,Dinner,Yes,No,Yes,,,,No,A,,,Average,No,Street,No,Yes,Yes,Yes,Free,$11-30,Huertas,East Village,4.0,278.0,10003,107 1st Ave,Spanish
107,,Yes,Full Bar,Trendy,Casual,Yes,Tapas/Small Plates; Spanish; ,Yes,Yes,,Yes,"Brunch, Lunch, Dinner, Dessert",Yes,Yes,Yes,,,,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,No,Free,$11-30,Marcha Cocina East Village,"Alphabet City, East Village",4.5,105.0,10009,111 Ave C,Spanish
109,,Yes,Beer & Wine Only,Intimate,Casual,Yes,Tapas/Small Plates; ,No,No,,Yes,Dinner,No,No,,,,,No,A,,,Average,Yes,Street,Yes,Yes,,,No,$11-30,Las Ramblas,West Village,4.0,669.0,10014,170 W 4th St,Spanish
110,No,Yes,Beer & Wine Only,Intimate,Casual,Yes,Wine Bars; Tapas Bars; ,No,No,,,"Dinner, Late Night",Yes,No,,,,,No,B,,Yes,Average,No,Street,No,Yes,,,Free,$11-30,The Ten Bells,Lower East Side,3.5,404.0,10002,247 Broome St,Spanish
111,,Yes,Beer & Wine Only,,Casual,Yes,Basque; Spanish; Tapas Bars; ,Yes,Yes,,Yes,Dinner,No,No,,,,,Yes,A,,,Average,No,Street,Yes,Yes,,,Free,$11-30,Donostia,"Alphabet City, East Village",4.0,101.0,10009,155 Ave B,Spanish
113,,Yes,Beer & Wine Only,"Casual, Intimate",Casual,Yes,Latin American; ,Yes,Yes,No,Yes,"Brunch, Dinner",Yes,Yes,Yes,,,,No,A,,,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Charrua,Lower East Side,4.0,129.0,10002,131 Essex St,Spanish
114,,Yes,Beer & Wine Only,,Casual,Yes,Latin American; ,Yes,Yes,,,"Breakfast, Brunch, Dessert",Yes,Yes,,,,,No,A,,,Average,No,,Yes,No,,,No,Under $10,El Castillo De Madison,"Two Bridges, Lower East Side",3.5,29.0,10002,207 Madison St,Spanish
115,,Yes,Beer & Wine Only,,,,Tapas Bars; ,,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,No,A,Yes,Yes,,No,,Yes,Yes,Yes,No,Free,$11-30,Lamano West Village,West Village,4.0,17.0,10014,39 Christopher St,Spanish
143,,Yes,Beer & Wine Only,Casual,Casual,Yes,Spanish; Coffee & Tea; Breakfast & Brunch; ,Yes,Yes,,,Lunch,Yes,Yes,,,,,Yes,A,,,Average,No,"Garage, Street",Yes,Yes,,,Free,$11-30,Judy?s Spanish Restaurant,East Harlem,3.0,167.0,10029,1505 Lexington Ave,Spanish
144,,Yes,No,Casual,Casual,Yes,Latin American; Puerto Rican; ,Yes,No,,,Lunch,No,Yes,,,,,No,A,,,Average,No,,Yes,No,,,No,Under $10,Lechonera La Isla,East Harlem,4.5,61.0,10035,256 E 125th St,Spanish
145,,Yes,,,,,Dominican; Beer Gardens; ,,Yes,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,Free,,Santiago?s Beer Garden,East Harlem,5.0,35.0,10035,2337 1st Ave,Spanish
146,,Yes,Beer & Wine Only,Casual,Casual,Yes,Latin American; Spanish; Dominican; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,Yes,A,,,Average,No,Street,Yes,No,Yes,,No,Under $10,Lechonera El Barrio,East Harlem,3.5,68.0,10029,172 E 103rd St,Spanish
147,,Yes,Beer & Wine Only,Casual,Casual,Yes,Latin American; Dominican; ,Yes,Yes,,,Dinner,Yes,Yes,,,,,Yes,A,,,Average,No,Street,Yes,No,,,No,$11-30,El Nuevo Caribeno,East Harlem,4.0,75.0,10029,1675 Lexington Ave,Spanish
148,No,Yes,Full Bar,Casual,Casual,Yes,Tapas Bars; Mexican; Cocktail Bars; ,Yes,No,No,Yes,Dinner,Yes,Yes,Yes,,,,Yes,A,,,Average,No,Street,No,Yes,Yes,No,Free,$11-30,El Kallejon,East Harlem,4.5,236.0,10035,209 E 117th St,Spanish
149,,Yes,No,"Divey, Casual",Casual,Yes,Spanish; Basque; ,Yes,Yes,,Yes,,Yes,Yes,,,,,Yes,C,,,Average,No,Street,Yes,No,,,No,Under $10,Sandy Restaurant,East Harlem,3.0,63.0,10035,2261 2nd Ave,Spanish
150,,Yes,Full Bar,Casual,Casual,Yes,Latin American; Mexican; ,Yes,Yes,,Yes,"Brunch, Lunch, Dinner",Yes,Yes,Yes,,,,Yes,B,,,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Cascalote Latin Bistro,East Harlem,4.5,304.0,10029,2126 2nd Ave,Spanish
151,,Yes,No,,Casual,Yes,Puerto Rican; Spanish; Dominican; ,No,No,,,Lunch,No,Yes,,,,,No,A,,,Average,No,,Yes,No,Yes,,No,Under $10,El Chevere,East Harlem,4.0,24.0,10029,2000 3rd Ave,Spanish
152,No,Yes,Full Bar,Casual,Casual,Yes,Latin American; Caribbean; ,Yes,Yes,No,Yes,"Dinner, Dessert",Yes,Yes,Yes,,,,Yes,A,,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Cafe Con Leche,East Harlem,4.0,54.0,10029,2026 2nd Ave,Spanish
153,No,Yes,No,Casual,Casual,No,Puerto Rican; ,Yes,No,No,,"Lunch, Dinner, Late Night",No,Yes,No,,,,No,A,,,Average,No,Street,Yes,No,No,,No,Under $10,Cuchifritos,East Harlem,4.0,143.0,10029,168 E 116th St,Spanish
154,,Yes,Full Bar,Casual,Casual,No,Latin American; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,Yes,A,,,Average,No,Street,Yes,No,Yes,,No,$11-30,El Nuevo Caridad Restaurant,East Harlem,3.0,120.0,10029,2257 2nd Ave,Spanish
155,,Yes,Full Bar,Intimate,Casual,Yes,Mediterranean; Tapas Bars; Bars; ,Yes,Yes,,Yes,Late Night,Yes,No,Yes,,,,No,A,,,Average,No,Street,Yes,Yes,,,No,$11-30,The Lexington Social,East Harlem,3.5,185.0,10029,1634 Lexington Ave,Spanish
156,,,,,,,Caribbean; ,Yes,,,,,,,,,,,,,,,,,,,No,,,,,Island Bites,East Harlem,4.0,4.0,10029,2107 1st Ave,Spanish
157,,,,,Casual,No,Spanish; Latin American; ,,,,,,Yes,Yes,,,,,,A,,,Average,No,,Yes,,Yes,,,$11-30,The Tropical Grill on 2nd,East Harlem,3.0,7.0,10035,2419 2nd Ave St 124,Spanish
158,,Yes,Full Bar,"Casual, Intimate, Romantic",Casual,Yes,Latin American; Cocktail Bars; ,Yes,Yes,No,Yes,"Lunch, Dessert",Yes,Yes,Yes,,,,Yes,B,,,Average,No,,Yes,Yes,Yes,Yes,Free,$11-30,La Avenida,East Harlem,4.5,69.0,10029,2247 1st Ave,Spanish
159,,Yes,No,Casual,Casual,Yes,Spanish; ,,Yes,,,"Brunch, Lunch",No,Yes,,,,,No,A,,,Average,No,Street,Yes,No,,,No,Under $10,La Isla,East Harlem,2.5,27.0,10029,1883 3rd Ave,Spanish
160,No,Yes,Full Bar,Trendy,Casual,Yes,Tapas/Small Plates; Spanish; Tapas Bars; ,Yes,Yes,,Yes,"Brunch, Dinner",Yes,No,Yes,,,,Yes,A,,,Average,Yes,Garage,Yes,Yes,Yes,Yes,Free,$31-60,Boqueria Spanish Tapas - Upper East Side,"Upper East Side, Yorkville",4.0,602.0,10075,1460 2nd Ave,Spanish
161,No,Yes,Full Bar,Trendy,Casual,Yes,Italian; Spanish; Seafood; ,No,No,,Yes,Dinner,Yes,No,,,,,No,C,,Yes,Average,Yes,Street,Yes,Yes,,,No,$11-30,VINATERÍA,Harlem,4.0,367.0,10026,2211 Frederick Douglass Blvd,Spanish
162,,,,,,,Spanish; ,,,,,,,,,,,,,,,,,,,,,,,,,Kikiriki,Harlem,2.5,2.0,10030,2647 Frederick Douglass Blvd,Spanish
163,,Yes,Beer & Wine Only,Divey,Casual,Yes,Spanish; Dominican; Juice Bars & Smoothies; ,Yes,Yes,,,,No,Yes,,,,,Yes,A,,,Average,No,Street,Yes,Yes,,,Free,Under $10,Acosta Restaurant,Manhattan Valley,3.5,36.0,10025,934 Amsterdam Ave,Spanish
164,No,Yes,Full Bar,"Casual, Trendy",Casual,No,Mexican; Latin American; Cocktail Bars; ,No,Yes,,Yes,"Brunch, Lunch, Dinner",Yes,No,Yes,,,,Yes,,Yes,Yes,Average,No,Street,Yes,No,Yes,,Free,$11-30,Cantina Taqueria & Tequila Bar,Harlem,4.0,409.0,10026,1838 7th Ave,Spanish
165,,No,No,,Casual,Yes,Spanish; Latin American; Puerto Rican; ,No,No,,,,No,Yes,,,,,Yes,B,,,Average,No,,Yes,No,,,No,Under $10,La Isla Cuchifrito,Mott Haven,4.5,22.0,10451,276 E 149th St,Spanish
166,,Yes,Full Bar,Casual,Casual,Yes,Puerto Rican; Sports Bars; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,Yes,A,,,Average,No,Street,Yes,Yes,,,Free,$11-30,La Fonda Restaurant & Tapas Bar,East Harlem,3.5,157.0,10029,169 E 106th St,Spanish
167,,Yes,No,Casual,Casual,Yes,Caribbean; Spanish; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,No,A,,,Average,No,Street,Yes,No,,,No,Under $10,Tropical Grill & Restaurant,Harlem,3.5,72.0,10027,2145 Adam Clayton Powell Jr Blvd,Spanish
