,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
133,Anjappar Chettinad Restaurant,116 Lexington Ave,10016,279,3.0,Flatiron,B,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,NA,Yes,Indian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
134,The Chinese Club NYC - Desiwala Chinese,102 Lexington Ave,10016,81,3.5,Flatiron,NA,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,No,Yes,Yes,Casual,Average,Full Bar,No,No,Free,No,No,Yes,Yes,Chinese; Indian; ,NA,NA,Yes,NA,Dinner,"Casual, Trendy, Intimate",Yes
135,Haandi,113 Lexington Ave,10016,281,3.5,"Kips Bay, Flatiron",B,Under $10,NA,No,No,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,Yes,NA,No,Yes,Indian; Pakistani; Halal; ,NA,NA,NA,NA,"Lunch, Dinner",NA,NA
136,Chicken Tikka Masala,134 E 27th St,10016,1,5.0,"Kips Bay, Flatiron",NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indian; ,NA,NA,NA,NA,NA,NA,NA
137,Curry In A Hurry,119 Lexington Ave,10016,439,3.0,"Kips Bay, Flatiron",A,$11-30,Yes,No,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,Yes,NA,NA,Yes,Indian; Pakistani; Bangladeshi; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
138,Joy of India,127 E 28th St Frnt,10016,1,5.0,Flatiron,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indian; ,NA,NA,NA,NA,NA,NA,NA
139,Cinamon,Lexington Ave 104,10016,1,4.0,Flatiron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indian; ,NA,NA,NA,NA,NA,NA,NA
140,The Kati Roll Company,99 MacDougal St,10012,829,4.0,Greenwich Village,A,Under $10,Yes,No,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,No,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,NA,Yes,Indian; Halal; ,NA,Yes,NA,NA,Late Night,Casual,NA
141,Tandoor Grill,1042 W Beech St,11561,133,4.5,NA,68 out of 100,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,No,Yes,Yes,Casual,Average,No,NA,Yes,Free,No,NA,Yes,Yes,Indian; Salad; Vegetarian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
142,Nanking,134-07 Rockaway Blvd,11420,303,4.0,Ozone Park,B,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,Free,No,NA,NA,Yes,Indian; Thai; Chinese; ,NA,NA,Yes,Yes,"Lunch, Dinner",Casual,NA
143,Chawlas 2,131-19 Rockaway Blvd,11420,70,4.0,Ozone Park,NA,Under $10,NA,No,Yes,Yes,Yes,NA,NA,No,NA,Yes,Yes,Casual,Average,No,NA,No,No,No,NA,Yes,No,Indian; ,NA,NA,NA,NA,Lunch,Casual,Yes
144,Dawat E Khaas Restaurant,324 N Central Ave,11580,32,3.0,Rosedale,80 out of 100,$11-30,NA,Yes,No,Yes,Yes,No,Street,No,Yes,Yes,Yes,Casual,NA,No,NA,No,Free,Yes,No,Yes,Yes,Indian; Halal; Pakistani; ,NA,NA,NA,NA,Dessert,NA,NA
145,India Cafe,94-08 Lefferts Blvd,11419,54,4.0,Ozone Park,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,Yes,NA,NA,Yes,Indian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
146,Punjabi Dhaba Catering & Sweets,11916 101st Ave,11419,18,4.5,Ozone Park,A,Under $10,Yes,No,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Loud,No,NA,No,No,Yes,NA,NA,NA,Caterers; Indian; ,NA,NA,Yes,NA,Lunch,NA,NA
147,Baadshah Indian Restaurant,131-10 Rockaway Blvd,11420,9,4.5,Ozone Park,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Average,NA,NA,NA,NA,NA,NA,NA,NA,Indian; ,NA,NA,NA,NA,NA,NA,NA
148,Wok & Grill,739 Elmont Rd,11003,5,4.5,Rosedale,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,NA,NA,Yes,No,Casual,NA,No,NA,No,No,Yes,NA,No,NA,Indian; Halal; Chinese; ,NA,NA,NA,NA,NA,NA,NA
149,King Kabab,371 N Central Ave,11580,10,3.5,NA,70 out of 100,$11-30,NA,Yes,Yes,Yes,No,NA,NA,NA,NA,Yes,Yes,Casual,NA,NA,NA,No,No,NA,NA,NA,NA,Indian; Pakistani; Bangladeshi; ,NA,NA,NA,NA,NA,NA,NA
150,Punjabi Kabab and Gyro,108-03 101st Ave,11419,36,4.0,Ozone Park,A,$11-30,NA,No,Yes,Yes,Yes,NA,Street,Yes,No,Yes,Yes,Casual,Average,No,NA,No,Free,No,No,Yes,Yes,Indian; Pakistani; Greek; ,NA,NA,NA,NA,NA,NA,NA
