,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
1110,NA,No,No,NA,Casual,Yes,Chinese; ,No,Yes,NA,NA,NA,No,No,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,Under $10,First Choice Chinese Kitchen,Washington Heights,3.0,45,10032,3893 Broadway
1111,NA,Yes,No,Casual,Casual,Yes,Chinese; ,No,Yes,NA,NA,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,Street,Yes,No,NA,NA,No,$11-30,Amy’s Restaurant,"Inwood, Washington Heights",3.5,99,10034,586 W 207th St
1112,No,Yes,No,Casual,Casual,Yes,Dim Sum; Cantonese; Asian Fusion; ,Yes,Yes,No,NA,"Brunch, Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,Average,No,"Valet, Street, Validated",Yes,Yes,Yes,Yes,No,$11-30,Aquarius Seafood Restaurant,NA,3.5,193,07024,230-234 Main St
1113,NA,No,No,NA,Casual,NA,Chinese; ,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,No,NA,Yes,No,No,NA,No,Under $10,King Dragon,Mount Eden,4.5,6,10452,120 Mt Eden Ave
1114,NA,No,No,Casual,Casual,NA,Chinese; ,No,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,Under $10,Panda House,Washington Heights,3.0,23,10040,82 Nagle Ave
1115,NA,Yes,NA,NA,NA,NA,Chinese; ,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Yes,NA,Yes,Free,NA,Atlas Kitchen,Manhattan Valley,4.0,28,10025,258 W 109th St
1116,NA,No,No,NA,Casual,No,Chinese; ,NA,Yes,NA,NA,"Lunch, Dinner, Late Night",No,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,NA,Yes,No,NA,NA,No,Under $10,Great Wall Chinese Food,Washington Heights,3.0,35,10033,800 W 181st St
1117,NA,Yes,No,Casual,Casual,Yes,Chinese; Cuban; ,NA,Yes,NA,NA,Lunch,Yes,Yes,NA,NA,NA,NA,No,C,NA,NA,Average,No,NA,Yes,No,NA,NA,No,$11-30,La Dinastia II,Washington Heights,3.0,54,10032,4059 Broadway
1118,NA,Yes,No,NA,Casual,NA,Chinese; ,Yes,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,Street,Yes,No,NA,NA,No,Under $10,Hang Lee Chinese,"Inwood, Washington Heights",4.0,24,10034,666 W 204th St
1119,NA,Yes,No,NA,Casual,Yes,Tex-Mex; Chinese; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,NA,Yes,No,No,NA,NA,$11-30,No. 1 Restaurant,Washington Heights,3.5,20,10040,4480 Broadway
