,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
39,No,Yes,Full Bar,Trendy,Casual,Yes,Mexican; Cocktail Bars; Venues & Event Spaces; ,Yes,Yes,NA,Yes,Dinner,Yes,No,Yes,NA,NA,NA,Yes,A,NA,NA,Average,Yes,"Garage, Street",Yes,Yes,NA,NA,No,$11-30,El Toro Blanco,West Village,3.5,365,10014,257 Avenue Of The Americas
40,NA,No,No,Casual,Casual,Yes,Korean; Food Trucks; Mexican; ,Yes,No,NA,NA,Lunch,Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,Yes,Street,Yes,No,NA,NA,No,Under $10,Kimchi Taco,Financial District,3.0,226,10281,NA
41,NA,Yes,No,Casual,Casual,Yes,Mexican; ,NA,Yes,NA,NA,"Breakfast, Brunch, Lunch",No,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,No,No,No,Under $10,Factory Tamal,Lower East Side,4.5,59,10002,34 Ludlow St
42,NA,Yes,Full Bar,Trendy,Casual,Yes,Vegetarian; Vegan; ,No,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,No,Yes,Yes,NA,No,$31-60,Dirt Candy,Lower East Side,4.0,539,10002,86 Allen St
43,NA,No,No,Casual,Casual,NA,Mexican; Food Trucks; ,No,No,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,Quiet,No,NA,Yes,No,NA,NA,No,Under $10,Taco Bite Food Truck,Financial District,4.0,39,10005,NA
44,NA,Yes,Beer & Wine Only,NA,Casual,Yes,Mexican; Cuban; ,No,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,No,Street,Yes,No,NA,NA,No,Under $10,Habana To-Go,Nolita,4.0,260,10012,229 Elizabeth St
45,NA,Yes,Full Bar,Trendy,Casual,Yes,Mediterranean; Spanish; Bars; ,No,No,NA,Yes,Dinner,Yes,No,No,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,No,Yes,Yes,NA,No,$31-60,Gato,NoHo,4.0,1006,10012,324 Lafayette St
46,No,Yes,Full Bar,Casual,Casual,Yes,Tex-Mex; Seafood; Southern; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,Yes,NA,NA,Free,$11-30,Cowgirl Seahorse,Financial District,4.0,542,10038,259 Front St
47,No,Yes,No,NA,NA,Yes,Tacos; ,Yes,Yes,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Yes,Yes,NA,Yes,Street,Yes,No,No,Yes,Free,NA,Mr Taco,Lower East Side,4.5,24,10002,11 Stanton St
48,NA,Yes,Full Bar,Casual,Casual,No,Mexican; Bars; ,Yes,Yes,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Papatzul,SoHo,3.5,382,10013,55 Grand St
49,NA,Yes,Full Bar,NA,Casual,No,Seafood; American (New); Live/Raw Food; ,No,Yes,NA,NA,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,Yes,Average,Yes,Street,Yes,Yes,Yes,No,No,$31-60,Aquagrill,South Village,4.0,1275,10012,210 Spring St
50,NA,Yes,NA,NA,NA,NA,Mexican; Food Stands; ,Yes,No,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,Yes,NA,Yes,No,NA,NA,No,$11-30,Jicama NYC,Civic Center,2.5,13,10001,NA
51,No,Yes,Full Bar,Casual,NA,Yes,American (New); Diners; Wine Bars; ,No,Yes,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$31-60,Henry’s End,Brooklyn Heights,4.0,328,11201,44 Henry St
52,NA,Yes,Full Bar,"Trendy, Intimate, Classy",Casual,Yes,Tapas/Small Plates; American (New); Cocktail Bars; ,NA,No,NA,NA,"Lunch, Dinner, Late Night, Dessert",Yes,No,Yes,NA,NA,NA,Yes,NA,NA,Yes,Average,No,Street,No,Yes,Yes,NA,No,$31-60,The Tuck Room,South Street Seaport,4.0,192,10038,11 Fulton St
53,NA,Yes,Full Bar,Trendy,Casual,Yes,Latin American; Cocktail Bars; Tapas/Small Plates; ,No,Yes,NA,Yes,Dinner,Yes,No,Yes,NA,NA,NA,Yes,A,NA,Yes,Average,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Oficina Latina,Nolita,3.0,350,10012,24 Prince St
54,NA,Yes,Full Bar,"Casual, Trendy",Casual,Yes,Mexican; Bars; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,Yes,A,Yes,Yes,Average,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Dos Caminos,SoHo,3.5,978,10012,475 W Broadway
55,NA,Yes,Full Bar,Intimate,Casual,No,Seafood; Bars; ,No,No,NA,NA,"Dinner, Late Night",No,No,NA,NA,NA,NA,No,B,NA,NA,Average,No,Street,No,Yes,Yes,NA,No,Above $61,ZZ’s Clam Bar,Greenwich Village,4.5,92,10012,169 Thompson St
56,NA,Yes,No,Casual,Casual,Yes,Mexican; ,Yes,Yes,NA,NA,Lunch,No,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,NA,Yes,No,NA,NA,No,Under $10,El Toro Mexican Grill,Financial District,3.0,98,10004,69 New St
57,No,No,No,Casual,Casual,Yes,Food Trucks; Mexican; ,Yes,Yes,Yes,NA,Lunch,Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,No,Street,Yes,No,No,No,No,Under $10,Tacos Lupita,Bensonhurst,4.5,41,11204,1802 65th St
