,0
165,http://www.yelp.com/biz/xian-famous-foods-new-york-14?osq=Chinese+restaurants
166,http://www.yelp.com/biz/uluh-new-york?osq=Chinese+restaurants
167,http://www.yelp.com/biz/china-xiang-new-york-3?osq=Chinese+restaurants
168,http://www.yelp.com/biz/atoboy-new-york?osq=Chinese+restaurants
169,http://www.yelp.com/biz/clay-pot-nyc-new-york-3?osq=Chinese+restaurants
170,http://www.yelp.com/biz/hunan-bistro-new-york?osq=Chinese+restaurants
171,http://www.yelp.com/biz/spice-symphony-new-york?osq=Chinese+restaurants
172,http://www.yelp.com/biz/auntie-guans-kitchen-new-york-4?osq=Chinese+restaurants
173,http://www.yelp.com/biz/shu-han-ju-new-york-2?osq=Chinese+restaurants
174,http://www.yelp.com/biz/the-chinese-club-nyc-desiwala-chinese-new-york?osq=Chinese+restaurants
175,http://www.yelp.com/biz/caf%C3%A9-china-new-york-2?osq=Chinese+restaurants
176,http://www.yelp.com/biz/bao-bao-cafe-new-york-2?osq=Chinese+restaurants
177,http://www.yelp.com/biz/noodle-king-of-nyc-new-york-2?osq=Chinese+restaurants
178,http://www.yelp.com/biz/jue-lan-club-new-york?osq=Chinese+restaurants
179,http://www.yelp.com/biz/excellent-dumpling-house-new-york-3?osq=Chinese+restaurants
180,http://www.yelp.com/biz/dun-huang-grand-central-new-york-4?osq=Chinese+restaurants
181,http://www.yelp.com/biz/bang-chengdu-street-kitchen-new-york-2?osq=Chinese+restaurants
182,http://www.yelp.com/biz/gala-bbq-new-york-2?osq=Chinese+restaurants
183,http://www.yelp.com/biz/zest-szechuan-new-york?osq=Chinese+restaurants
184,http://www.yelp.com/biz/xian-famous-foods-new-york-14?osq=Chinese+restaurants
185,http://www.yelp.com/biz/uluh-new-york?osq=Chinese+restaurants
186,http://www.yelp.com/biz/china-xiang-new-york-3?osq=Chinese+restaurants
187,http://www.yelp.com/biz/atoboy-new-york?osq=Chinese+restaurants
188,http://www.yelp.com/biz/clay-pot-nyc-new-york-3?osq=Chinese+restaurants
189,http://www.yelp.com/biz/hunan-bistro-new-york?osq=Chinese+restaurants
190,http://www.yelp.com/biz/spice-symphony-new-york?osq=Chinese+restaurants
191,http://www.yelp.com/biz/auntie-guans-kitchen-new-york-4?osq=Chinese+restaurants
192,http://www.yelp.com/biz/shu-han-ju-new-york-2?osq=Chinese+restaurants
193,http://www.yelp.com/biz/buddakan-new-york?osq=Chinese+restaurants
194,http://www.yelp.com/biz/dian-kitchen-new-york-2?osq=Chinese+restaurants
195,http://www.yelp.com/biz/chow-house-new-york?osq=Chinese+restaurants
196,http://www.yelp.com/biz/wok-to-walk-new-york-5?osq=Chinese+restaurants
197,http://www.yelp.com/biz/dun-huang-new-york-4?osq=Chinese+restaurants
198,http://www.yelp.com/biz/zh%C3%A0-pan-asian-new-york-4?osq=Chinese+restaurants
199,http://www.yelp.com/biz/di-di-dumpling-new-york-3?osq=Chinese+restaurants
200,http://www.yelp.com/biz/xian-famous-foods-new-york-6?osq=Chinese+restaurants
201,http://www.yelp.com/biz/la-vie-en-szechuan-new-york-2?osq=Chinese+restaurants
202,http://www.yelp.com/biz/xian-famous-foods-new-york-23?osq=Chinese+restaurants
203,http://www.yelp.com/biz/chow-house-new-york?osq=Chinese+restaurants
204,http://www.yelp.com/biz/uncle-teds-modern-chinese-cuisine-new-york?osq=Chinese+restaurants
205,http://www.yelp.com/biz/han-dynasty-new-york?osq=Chinese+restaurants
206,http://www.yelp.com/biz/tipsy-shanghai-new-york-2?osq=Chinese+restaurants
207,http://www.yelp.com/biz/auntie-guans-kitchen-108-new-york?osq=Chinese+restaurants
208,http://www.yelp.com/biz/clay-pot-nyc-new-york-3?osq=Chinese+restaurants
209,http://www.yelp.com/biz/junzi-kitchen-new-york-7?osq=Chinese+restaurants
210,http://www.yelp.com/biz/silky-kitchen-new-york-3?osq=Chinese+restaurants
211,http://www.yelp.com/biz/uluh-new-york?osq=Chinese+restaurants
212,http://www.yelp.com/biz/niu-noodle-house-new-york-9?osq=Chinese+restaurants
213,http://www.yelp.com/biz/noodle-king-of-nyc-new-york-2?osq=Chinese+restaurants
214,http://www.yelp.com/biz/chengdu-house-new-york?osq=Chinese+restaurants
215,http://www.yelp.com/biz/shu-han-ju-new-york-2?osq=Chinese+restaurants
216,http://www.yelp.com/biz/laoma-spicy-new-york?osq=Chinese+restaurants
217,http://www.yelp.com/biz/the-rice-noodle-new-york?osq=Chinese+restaurants
218,http://www.yelp.com/biz/gala-bbq-new-york-2?osq=Chinese+restaurants
219,http://www.yelp.com/biz/hao-noodle-and-tea-by-madam-zhus-kitchen-new-york?osq=Chinese+restaurants
220,http://www.yelp.com/biz/szechuan-mountain-house-new-york-2?osq=Chinese+restaurants
221,http://www.yelp.com/biz/lotus-blue-new-york-2?osq=Chinese+restaurants
222,http://www.yelp.com/biz/dian-kitchen-new-york-2?osq=Chinese+restaurants
223,http://www.yelp.com/biz/hunan-bistro-new-york?osq=Chinese+restaurants
224,http://www.yelp.com/biz/joes-shanghai-new-york-2?osq=Chinese+restaurants
225,http://www.yelp.com/biz/the-bao-new-york?osq=Chinese+restaurants
226,http://www.yelp.com/biz/the-dumpling-shop-new-york-2?osq=Chinese+restaurants
227,http://www.yelp.com/biz/shu-jiao-fu-zhou-cuisine-restaurant-new-york?osq=Chinese+restaurants
228,http://www.yelp.com/biz/dun-huang-new-york-4?osq=Chinese+restaurants
229,http://www.yelp.com/biz/xian-famous-foods-new-york-3?osq=Chinese+restaurants
230,http://www.yelp.com/biz/decoy-new-york?osq=Chinese+restaurants
231,http://www.yelp.com/biz/traditional-chinese-food-cart-new-york-2?osq=Chinese+restaurants
